"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD"
"US1COAR0266","AURORA 4.5 SE, CO US","2023-09-02",,,"0.00","0.0",
"US1COAR0266","AURORA 4.5 SE, CO US","2023-09-03",,,"0.00","0.0",
"US1COAR0266","AURORA 4.5 SE, CO US","2023-09-04",,,"0.00","0.0",
"US1COAR0266","AURORA 4.5 SE, CO US","2023-09-05",,,"0.00","0.0",
"US1COAR0266","AURORA 4.5 SE, CO US","2023-09-06",,,"0.00","0.0",
"US1COAR0266","AURORA 4.5 SE, CO US","2023-09-07",,,"0.00","0.0",
"US1COAR0266","AURORA 4.5 SE, CO US","2023-09-08",,,"0.00","0.0",
"US1COAR0266","AURORA 4.5 SE, CO US","2023-09-09",,,"0.00","0.0",
"US1COAR0266","AURORA 4.5 SE, CO US","2023-09-10",,,"0.00","0.0",
"US1COAR0266","AURORA 4.5 SE, CO US","2023-09-11",,,"0.21","0.0",
"US1COAR0266","AURORA 4.5 SE, CO US","2023-09-12",,,"0.10","0.0",
"US1COAR0266","AURORA 4.5 SE, CO US","2023-09-13",,,"0.00","0.0",
"US1COAR0266","AURORA 4.5 SE, CO US","2023-09-14",,,"0.00","0.0",
"US1COAR0266","AURORA 4.5 SE, CO US","2023-09-15",,,"0.38","0.0",
"US1COAR0266","AURORA 4.5 SE, CO US","2023-09-16",,,"0.06","0.0",
"US1COAR0266","AURORA 4.5 SE, CO US","2023-09-17",,,"0.00","0.0",
"US1COAR0266","AURORA 4.5 SE, CO US","2023-09-18",,,"0.00","0.0",
"US1COAR0266","AURORA 4.5 SE, CO US","2023-09-19",,,"0.00",,
"US1COAR0266","AURORA 4.5 SE, CO US","2023-09-20",,,"0.00",,
"US1COAR0266","AURORA 4.5 SE, CO US","2023-09-21",,,"0.00",,
"US1COAR0266","AURORA 4.5 SE, CO US","2023-09-22",,,"0.00","0.0",
"US1COAR0266","AURORA 4.5 SE, CO US","2023-09-23",,,"0.00","0.0",
"US1COAR0266","AURORA 4.5 SE, CO US","2023-09-24",,,"0.00","0.0",
"US1COAR0266","AURORA 4.5 SE, CO US","2023-09-25",,,"0.00",,
"US1COAR0266","AURORA 4.5 SE, CO US","2023-09-26",,,"0.00","0.0",
"US1COAR0266","AURORA 4.5 SE, CO US","2023-09-27",,,"0.00","0.0",
"US1COAR0266","AURORA 4.5 SE, CO US","2023-09-28",,,"0.00","0.0",
"US1COAR0266","AURORA 4.5 SE, CO US","2023-09-29",,,"0.00","0.0",
"US1COAR0266","AURORA 4.5 SE, CO US","2023-09-30",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-01-01",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-01-02",,,"0.12","1.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-01-03",,,"0.08","0.7",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-01-04",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-01-05",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-01-06",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-01-07",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-01-08",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-01-09",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-01-10",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-01-11",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-01-12",,,,"0.3",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-01-13",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-01-14",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-01-15",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-01-16",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-01-17",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-01-18",,,"0.50","5.5",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-01-19",,,"0.40","3.7","9.0"
"US1COAR0412","AURORA 3.3 SE, CO US","2023-01-20",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-01-21",,,"0.00",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-01-22",,,"0.04","0.5",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-01-23",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-01-24",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-01-25",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-01-26",,,"0.03","0.3",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-01-27",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-01-28",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-01-29",,,"0.01","0.2",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-01-30",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-01-31",,,"0.03","1.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-02-01",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-02-02",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-02-03",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-02-04",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-02-06",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-02-07",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-02-08",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-02-09",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-02-10",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-02-11",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-02-13",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-02-14",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-02-15",,,"0.16","2.9",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-02-16",,,"0.10","2.2","5.1"
"US1COAR0412","AURORA 3.3 SE, CO US","2023-02-17",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-02-18",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-02-19",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-02-20",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-02-21",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-02-22",,,"0.03","0.4",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-02-23",,,"0.05","0.8",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-02-24",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-02-25",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-02-27",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-02-28",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-03-01",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-03-02",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-03-03",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-03-04",,,"0.02","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-03-05",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-03-06",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-03-07",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-03-08",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-03-09",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-03-10",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-03-11",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-03-12",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-03-13",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-03-14",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-03-16",,,"0.18","0.8",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-03-17",,,"0.02","0.2",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-03-18",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-03-19",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-03-20",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-03-21",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-03-22",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-03-23",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-03-24",,,"0.01","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-03-25",,,"0.15","1.5",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-03-26",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-03-27",,,"0.05","0.9",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-03-28",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-03-29",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-03-30",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-03-31",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-04-01",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-04-02",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-04-03",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-04-04",,,"0.07","0.6",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-04-05",,,"0.08","1.2",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-04-06",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-04-07",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-04-08",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-04-09",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-04-10",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-04-11",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-04-12",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-04-13",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-04-14",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-04-15",,,"0.22","0.5",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-04-16",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-04-17",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-04-18",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-04-19",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-04-20",,,"0.02","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-04-21",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-04-22",,,"0.45","4.5",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-04-23",,,"0.00",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-04-24",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-04-25",,,"0.02",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-04-26",,,"1.21",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-04-27",,,"0.01",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-04-28",,,"0.39",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-04-29",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-04-30",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-05-01",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-05-02",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-05-03",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-05-04",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-05-05",,,"0.00",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-05-06",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-05-07",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-05-08",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-05-09",,,"0.15",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-05-10",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-05-11",,,"1.49",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-05-12",,,"4.11",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-05-13",,,"0.21",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-05-14",,,"0.23",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-05-15",,,"0.23",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-05-16",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-05-17",,,"0.13",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-05-18",,,"0.09",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-05-19",,,"0.44",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-05-20",,,"0.00",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-05-21",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-05-22",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-05-23",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-05-24",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-05-25",,,"0.28",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-05-26",,,"0.11",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-05-27",,,"0.17",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-05-28",,,"0.02",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-05-30",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-05-31",,,"0.20",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-06-01",,,"0.01",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-06-02",,,"0.09",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-06-03",,,"0.21",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-06-04",,,"0.76",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-06-05",,,"0.43",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-06-06",,,"0.05",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-06-07",,,"0.47",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-06-08",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-06-09",,,"0.31",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-06-10",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-06-11",,,"0.04",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-06-12",,,"0.90",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-06-13",,,"0.06",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-06-14",,,"0.01",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-06-15",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-06-16",,,"0.52",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-06-17",,,"0.33",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-06-18",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-06-19",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-06-20",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-06-21",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-06-22",,,"0.96",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-06-23",,,"0.36",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-06-24",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-06-25",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-06-26",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-06-27",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-06-28",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-06-29",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-06-30",,,"0.56",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-07-01",,,"0.01",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-07-02",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-07-04",,,"0.02",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-07-05",,,"0.85",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-07-06",,,"0.03",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-07-07",,,"0.00",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-07-08",,,"0.02",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-07-09",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-07-10",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-07-11",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-07-12",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-07-13",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-07-14",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-07-15",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-07-16",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-07-17",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-07-18",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-07-19",,,"0.10",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-07-20",,,"0.25",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-07-21",,,"0.21",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-07-22",,,"0.27",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-07-23",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-07-24",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-07-25",,,"0.00",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-07-26",,,"0.01",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-07-27",,,"0.22",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-07-28",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-07-29",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-07-30",,,"0.03",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-07-31",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-08-01",,,"0.35",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-08-02",,,"0.05",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-08-03",,,"0.54",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-08-04",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-08-06",,,"0.05",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-08-07",,,"0.06",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-08-08",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-08-09",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-08-10",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-08-11",,,"0.00",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-08-12",,,"0.02",,
"US1COAR0412","AURORA 3.3 SE, CO US","2023-08-13",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-08-14",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-08-15",,,"0.00","0.0",
"US1COAR0412","AURORA 3.3 SE, CO US","2023-08-16",,,"0.00","0.0",
